objgeographyid,objectid,continent,country,region,river,state,county,city,locale,building,locus,notes,township,politicalregion,nation,culturalregion,subregion,primarydisplay,orig_combined
910,796,,USA,,,North Carolina,,Highlands (near),,,,,,,,,,1,country: USA|||state: North Carolina|||city: Highlands (near)
1427,1350,,USA,,,North Carolina,,Currituck,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Currituck
2568,2263,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
2567,2302,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
2569,2303,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
2566,2372,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
2565,2415,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
2571,2454,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
2570,2494,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
3428,3115,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
3592,3135,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
3593,3276,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
3604,3575,,USA,,,North Carolina,,Yanceyville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Yanceyville
5917,4614,,USA,,,North Carolina,,Cherokee (near),,,,,,,,,,1,country: USA|||state: North Carolina|||city: Cherokee (near)
6648,5169,,USA,,,North Carolina,,Penland,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Penland
6617,5547,,USA,,,North Carolina,,Wing,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Wing
6618,5558,,USA,,,North Carolina,,Penland,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Penland
7509,5617,,USA,,,North Carolina,,Wadesboro,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Wadesboro
6629,6023,,USA,,,North Carolina,,Penland,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Penland
6626,6351,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
7521,6410,,USA,,,North Carolina,,Tallyho (near),,,,,,,,,,0,country: USA|||state: North Carolina|||city: Tallyho (near)
7797,6574,,USA,,,North Carolina,,Charlotte,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Charlotte
6607,6723,,USA,,,North Carolina,,Charlotte,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Charlotte
8498,7131,,USA,,,North Carolina,,Kitty Hawk,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Kitty Hawk
8990,7734,,USA,,,North Carolina,,Penland,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Penland
10299,9369,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
11133,9469,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
10845,9727,,USA,,,North Carolina,,Wendell,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Wendell
11828,10204,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
11769,10903,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
12776,11271,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
15123,12997,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
15334,14117,,USA,,,North Carolina,,PENLAND,,,,,,,,,,1,country: USA|||state: North Carolina|||city: PENLAND
16642,14386,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
17467,15037,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
17252,15117,,USA,,,North Carolina,,Cherokee (near),,,,,,,,,,1,country: USA|||state: North Carolina|||city: Cherokee (near)
17355,15165,,USA,,,North Carolina,,Wendell,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Wendell
17469,15293,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
18022,15493,,USA,,,North Carolina,,Durham (near),,,,,,,,,,0,country: USA|||state: North Carolina|||city: Durham (near)
17994,15840,,USA,,,North Carolina,,Morganton,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Morganton
3594,17454,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
20993,19297,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
8501,20616,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
11143,20939,,USA,,,North Carolina,,"Tallyho (near), Granville County",,,,Stem (near),,,,,,0,"country: USA|||state: North Carolina|||city: Tallyho (near), Granville County|||notes: Stem (near)"
23325,22368,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
23402,22480,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
26094,24309,,USA,,,North Carolina,,Currituck,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Currituck
27326,24470,,USA,,,North Carolina,,Asheville (near),,,,,,,,,,0,country: USA|||state: North Carolina|||city: Asheville (near)
27328,25407,,USA,,,North Carolina,,Asheville,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Asheville
28623,25689,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
28813,25852,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
27327,25947,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
30251,28097,,USA,,,North Carolina,,Yanceyville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Yanceyville
31934,28536,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
28814,29099,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
17472,29157,,,,,North Carolina,,,,,,,,,,,,0,state: North Carolina
31056,29351,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
32033,30665,,USA,,,North Carolina,,Jacksonville,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Jacksonville
18180,30902,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
33136,31398,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
35510,33634,,USA,,,North Carolina,,Wadesboro,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Wadesboro
35512,34430,,USA,,,North Carolina,,Wendell,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Wendell
35834,34520,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
35873,34570,,USA,,,North Carolina,,Wendell,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Wendell
36001,35081,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
