"ObjGeographyID","ObjectID","GeoCodeID","Continent","SubContinent","Country","Region","River","State","County","City","Locale","Building","Excavation","Locus","Notes","LoginID","EnteredDate","Township","PoliticalRegion","Nation","RegionalCorp","VillageCorporation","CulturalRegion","Longitude","Latitude","UTM","Easting","Northing","Elevation","MapReferenceNumber","SubRegion","Lot","Concession","PrimaryDisplay","KeyFieldsSearchValue","GSRowVersion"
"910","796","1",,,"USA",,,"North Carolina",,"Highlands (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Highlands (near) 0.000 0.000","0x000000000537D893"
"1427","1350","1",,,"USA",,,"North Carolina",,"Currituck",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Currituck 0.000 0.000","0x000000000537DB46"
"2568","2263","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DF65"
"2567","2302","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DF97"
"2569","2303","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DF99"
"2566","2372","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DFE6"
"2565","2415","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537E01F"
"2571","2454","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537E057"
"2570","2494","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537E096"
"3428","3115","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000537E380"
"3592","3135","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000537E3A1"
"3593","3276","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x000000000537E45B"
"3604","3575","1",,,"USA",,,"North Carolina",,"Yanceyville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Yanceyville 0.000 0.000","0x000000000537E5F2"
"5917","4614","1",,,"USA",,,"North Carolina",,"Cherokee (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Cherokee (near) 0.000 0.000","0x000000000537EC40"
"6648","5169","1",,,"USA",,,"North Carolina",,"Penland",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Penland 0.000 0.000","0x000000000537F01A"
"6617","5547","1",,,"USA",,,"North Carolina",,"Wing",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Wing 0.000 0.000","0x000000000537F346"
"6618","5558","1",,,"USA",,,"North Carolina",,"Penland",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Penland 0.000 0.000","0x000000000537F35E"
"7509","5617","1",,,"USA",,,"North Carolina",,"Wadesboro",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Wadesboro 0.000 0.000","0x000000000537F3C0"
"6629","6023","1",,,"USA",,,"North Carolina",,"Penland",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Penland 0.000 0.000","0x000000000537F6BD"
"6626","6351","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000537F93B"
"7521","6410","1",,,"USA",,,"North Carolina",,"Tallyho (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Tallyho (near) 0.000 0.000","0x000000000537F9A9"
"7797","6574","1",,,"USA",,,"North Carolina",,"Charlotte",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Charlotte 0.000 0.000","0x000000000537FACF"
"6607","6723","1",,,"USA",,,"North Carolina",,"Charlotte",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Charlotte 0.000 0.000","0x000000000537FBC0"
"8498","7131","1",,,"USA",,,"North Carolina",,"Kitty Hawk",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Kitty Hawk 0.000 0.000","0x000000000537FE5F"
